regime,subset,unit,cycle,parameter,component,hs,theta_true,theta_hat,truth_label,pred_label,truth_component_stage,pred_component_stage,truth_stage,pred_stage,reconstruction_score,unknown
test_id,DS01-005_id,4,1,HPT_eff_mod,1,1,-0.0015395950556945,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,1,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.094665218627761,0
test_id,DS01-005_id,4,2,HPT_eff_mod,1,1,0.00422041422999502,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,2,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0891799170663646,0
test_id,DS01-005_id,4,3,HPT_eff_mod,1,1,-0.0026808191742997,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,3,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0346022576952339,0
test_id,DS01-005_id,4,4,HPT_eff_mod,1,1,0.0113616563053896,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,4,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.116860714125637,0
test_id,DS01-005_id,4,5,HPT_eff_mod,1,1,0.0095088421140736,-0,0,0,0,0,0,0,0.129608638766441,0
test_id,DS01-005_id,4,5,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.129608638766441,0
test_id,DS01-005_id,4,5,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.129608638766441,0
test_id,DS01-005_id,4,5,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.129608638766441,0
test_id,DS01-005_id,4,5,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.129608638766441,0
