family,subset,unit,is_unknown,score,threshold,rejected
HPT_eff,DS04_id,2,0,0.335655646303753,0.360022042182811,0
HPT_eff,DS05_id,3,0,0.384713563681676,0.360022042182811,1
HPT_eff,DS07_id,4,0,0.259302453337801,0.360022042182811,0
HPT_eff,DS06_id,5,0,0.217171535379418,0.360022042182811,0
HPT_eff,DS01-005_id,6,1,0.328565054031654,0.360022042182811,0
Fan,DS01-005_id,6,0,0.339445495032162,0.287753301029995,1
Fan,DS05_id,3,0,0.428464020088204,0.287753301029995,1
Fan,DS07_id,4,0,0.259321724695845,0.287753301029995,0
Fan,DS06_id,5,0,0.217592263901054,0.287753301029995,0
Fan,DS04_id,2,1,12.3306172052022,0.287753301029995,1
HPC,DS01-005_id,6,0,0.378579590085254,0.359972404388708,1
HPC,DS04_id,2,0,0.345701690759902,0.359972404388708,0
HPC,DS07_id,4,0,0.259282238772913,0.359972404388708,0
HPC,DS05_id,3,1,3.12110025274734,0.359972404388708,1
HPC,DS06_id,5,1,5.16153105364619,0.359972404388708,1
LPT,DS01-005_id,6,0,0.361156126754152,0.361047440910335,1
LPT,DS04_id,2,0,0.336419764752538,0.361047440910335,0
LPT,DS05_id,3,0,0.392056954980424,0.361047440910335,1
LPT,DS06_id,5,0,0.224052974248058,0.361047440910335,0
LPT,DS07_id,4,1,0.510293388219282,0.361047440910335,1
LPC,DS01-005_id,6,0,0.336419872833794,0.361432662873729,0
LPC,DS04_id,2,0,0.336517925451997,0.361432662873729,0
LPC,DS05_id,3,0,0.38403755844335,0.361432662873729,1
LPC,DS07_id,4,0,0.260085449606806,0.361432662873729,0
LPC,DS06_id,5,1,0.935308203358748,0.361432662873729,1
