subset,unit,cycle,condition,condition_value,raw_channel,corrected_channel,stage,value,relative_deviation_pct,correlation,standardized_slope,binned_drift_span_pct,normalized_binned_span,drift_reduction_pctpt
DS03,13,1,theta_c,1.04596776579137,Nf,Nf_c,raw,2207.43238740239,7.14235240899057,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04911685624508,Nf,Nf_c,raw,2210.23354041521,7.27831223496933,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04965227519091,Nf,Nf_c,raw,2210.50094696623,7.29129137176614,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05077425816901,Nf,Nf_c,raw,2166.12155996895,5.13724491104852,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05126002443728,Nf,Nf_c,raw,2165.02661149031,5.08409929425067,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05172262448774,Nf,Nf_c,raw,2164.78064648005,5.07216086752467,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05139599013167,Nf,Nf_c,raw,2164.40672297047,5.05401170713995,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05186262067663,Nf,Nf_c,raw,2164.88834581388,5.07738828017172,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05182737716847,Nf,Nf_c,raw,2164.95147425621,5.08045235128609,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05199849070221,Nf,Nf_c,raw,2165.27218305887,5.09601862446001,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05237676202556,Nf,Nf_c,raw,2165.93528888979,5.12820385424386,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.05202963848108,Nf,Nf_c,raw,2165.88557269044,5.12579077442243,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.0512057778996,Nf,Nf_c,raw,2166.5611643891,5.15858203193753,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04949421871549,Nf,Nf_c,raw,2165.79007023356,5.12115536273359,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.0482037827795,Nf,Nf_c,raw,2164.38466526805,5.05294109037291,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04747538853629,Nf,Nf_c,raw,2166.63694448161,5.16226017738091,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04631642376659,Nf,Nf_c,raw,2165.72541082863,5.1180169831442,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.0449474140595,Nf,Nf_c,raw,2164.22286832317,5.04508793691463,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04388675206389,Nf,Nf_c,raw,2162.29638698105,4.95158213168829,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04278871773029,Nf,Nf_c,raw,2161.2672994454,4.90163321364507,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04098924478271,Nf,Nf_c,raw,2160.14131168001,4.84698104008083,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.04065930764773,Nf,Nf_c,raw,2158.91914869084,4.78766080067774,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03980051716928,Nf,Nf_c,raw,2158.18979770805,4.75226022375683,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03913717644377,Nf,Nf_c,raw,2157.46554104674,4.71710691039444,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03776497341105,Nf,Nf_c,raw,2156.82319808881,4.68592945012036,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03505847427918,Nf,Nf_c,raw,2154.02243651909,4.54998862365199,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03464653860237,Nf,Nf_c,raw,2153.66597367004,4.53268695298177,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03434224228576,Nf,Nf_c,raw,2153.34227741094,4.51697567735501,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03395237581259,Nf,Nf_c,raw,2152.02219686573,4.45290280436905,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.0338664614951,Nf,Nf_c,raw,2151.92380623798,4.44812720926031,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03378387439858,Nf,Nf_c,raw,2151.82597401905,4.44337871769274,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03356276163702,Nf,Nf_c,raw,2152.4001736388,4.47124869838318,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03352099504272,Nf,Nf_c,raw,2152.36421823457,4.46950352756255,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03350963447034,Nf,Nf_c,raw,2152.35078478811,4.46885150711431,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03324237407786,Nf,Nf_c,raw,2152.09481133476,4.45642729964926,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
DS03,13,1,theta_c,1.03231767502132,Nf,Nf_c,raw,2152.74614497815,4.48804114166506,-0.385010350304824,-0.385010350304824,16.7541494417542,1.49657541636642,-3.23546244385876
