family,subset,unit,is_unknown,score,threshold,rejected
HPT_eff,DS04_id,4,0,0.300194024779642,0.804009852198514,0
HPT_eff,DS05_id,5,0,0.217546068280503,0.804009852198514,0
HPT_eff,DS07_id,2,0,0.230091320564638,0.804009852198514,0
HPT_eff,DS06_id,1,0,0.254711801498499,0.804009852198514,0
HPT_eff,DS01-005_id,3,1,0.370936832404706,0.804009852198514,0
Fan,DS01-005_id,3,0,0.407238603223379,0.713646929656924,0
Fan,DS05_id,5,0,0.243883564596607,0.713646929656924,0
Fan,DS07_id,2,0,0.236049298865583,0.713646929656924,0
Fan,DS06_id,1,0,0.258995653904028,0.713646929656924,0
Fan,DS04_id,4,1,9.20093109301265,0.713646929656924,1
HPC,DS01-005_id,3,0,0.372412658089159,0.804081626043832,0
HPC,DS04_id,4,0,0.303837260831668,0.804081626043832,0
HPC,DS07_id,2,0,0.233314950293358,0.804081626043832,0
HPC,DS05_id,5,1,5.95672766015665,0.804081626043832,1
HPC,DS06_id,1,1,3.16047055104069,0.804081626043832,1
LPT,DS01-005_id,3,0,0.386393335026893,0.803929439618441,0
LPT,DS04_id,4,0,0.300290169968919,0.803929439618441,0
LPT,DS05_id,5,0,0.249664221992865,0.803929439618441,0
LPT,DS06_id,1,0,0.255780173107415,0.803929439618441,0
LPT,DS07_id,2,1,1.57245176569071,0.803929439618441,1
LPC,DS01-005_id,3,0,0.371229387488913,0.804399932335952,0
LPC,DS04_id,4,0,0.300717237852366,0.804399932335952,0
LPC,DS05_id,5,0,0.222220230479457,0.804399932335952,0
LPC,DS07_id,2,0,0.234667467028701,0.804399932335952,0
LPC,DS06_id,1,1,0.897556004958669,0.804399932335952,1
