regime,subset,unit,cycle,parameter,component,hs,theta_true,theta_hat,truth_label,pred_label,truth_component_stage,pred_component_stage,truth_stage,pred_stage,reconstruction_score,unknown
test_id,DS01-005_id,3,1,HPT_eff_mod,1,1,-0.000474661660309988,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,1,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0863116238360872,0
test_id,DS01-005_id,3,2,HPT_eff_mod,1,1,0.00595038526710597,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,LPT_eff_mod,6,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,2,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0718339359711225,0
test_id,DS01-005_id,3,3,HPT_eff_mod,1,1,-0.00547572360679435,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,fan_eff_mod,2,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,HPC_eff_mod,4,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,3,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0599395418970017,0
test_id,DS01-005_id,3,4,HPT_eff_mod,1,1,-0.00754594020833977,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,fan_flow_mod,3,1,0,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,4,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.557485081910169,0
test_id,DS01-005_id,3,5,HPT_eff_mod,1,1,-0.000975013323780097,-0,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,fan_flow_mod,3,1,0,-0.000907636710379003,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,LPT_flow_mod,7,1,0,-0,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,5,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.0868792679346668,0
test_id,DS01-005_id,3,6,HPT_eff_mod,1,1,-0.00320059366098707,-0,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,fan_flow_mod,3,1,0,-0.00148029221625964,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,LPT_flow_mod,7,1,0,-0.00913363093181804,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,6,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.115782337075878,0
test_id,DS01-005_id,3,7,HPT_eff_mod,1,1,-0.0112647341197684,-0,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,fan_flow_mod,3,1,0,-0.00148029221625964,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,LPT_flow_mod,7,1,0,-0.00913363093181804,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,7,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.236628860302773,0
test_id,DS01-005_id,3,8,HPT_eff_mod,1,1,-0.0116442898657846,-0,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,fan_flow_mod,3,1,0,-0.00148029221625964,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,LPT_flow_mod,7,1,0,-0.00913363093181804,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,8,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.102233463208437,0
test_id,DS01-005_id,3,9,HPT_eff_mod,1,1,-0.0108050564715967,-0,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,fan_flow_mod,3,1,0,-0.00148029221625964,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,LPT_eff_mod,6,1,0,-0.00385907732260805,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,LPT_flow_mod,7,1,0,-0.00913363093181804,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,LPC_eff_mod,8,1,0,-0,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,9,LPC_flow_mod,9,1,0,-0,0,0,0,0,0,0,0.110715537073853,0
test_id,DS01-005_id,3,10,HPT_eff_mod,1,1,-0.0148832078941176,-0,0,0,0,0,0,0,0.385228178195208,0
test_id,DS01-005_id,3,10,fan_eff_mod,2,1,0,-0.000634823775548423,0,0,0,0,0,0,0.385228178195208,0
test_id,DS01-005_id,3,10,fan_flow_mod,3,1,0,-0.00148029221625964,0,0,0,0,0,0,0.385228178195208,0
test_id,DS01-005_id,3,10,HPC_eff_mod,4,1,0,-8.70197013755831e-05,0,0,0,0,0,0,0.385228178195208,0
test_id,DS01-005_id,3,10,HPC_flow_mod,5,1,0,-0,0,0,0,0,0,0,0.385228178195208,0
test_id,DS01-005_id,3,10,LPT_eff_mod,6,1,0,-0.00566454557992022,0,0,0,0,0,0,0.385228178195208,0
