family,subset,unit,is_unknown,score,threshold,rejected
HPT_eff,DS04_id,5,0,0.794132011306383,0.414571675199457,1
HPT_eff,DS05_id,2,0,0.245308970003148,0.414571675199457,0
HPT_eff,DS07_id,1,0,0.221709102130518,0.414571675199457,0
HPT_eff,DS06_id,4,0,0.297481988429239,0.414571675199457,0
HPT_eff,DS01-005_id,4,1,0.183139972621,0.414571675199457,0
Fan,DS01-005_id,4,0,0.27186921894373,0.444781041040626,0
Fan,DS05_id,2,0,0.378023609784931,0.444781041040626,0
Fan,DS07_id,1,0,0.276322462851656,0.444781041040626,0
Fan,DS06_id,4,0,0.89384690881207,0.444781041040626,1
Fan,DS04_id,5,1,15.1109823947062,0.444781041040626,1
HPC,DS01-005_id,4,0,0.424948391363708,0.456435010050092,0
HPC,DS04_id,5,0,0.831140241797135,0.456435010050092,1
HPC,DS07_id,1,0,0.62586246664621,0.456435010050092,1
HPC,DS05_id,2,1,3.93713277426248,0.456435010050092,1
HPC,DS06_id,4,1,2.32988343349756,0.456435010050092,1
LPT,DS01-005_id,4,0,0.208847061895632,0.426803124473253,0
LPT,DS04_id,5,0,0.793762776039355,0.426803124473253,1
LPT,DS05_id,2,0,0.274082702153276,0.426803124473253,0
LPT,DS06_id,4,0,0.333934264450887,0.426803124473253,0
LPT,DS07_id,1,1,2.24284653759296,0.426803124473253,1
LPC,DS01-005_id,4,0,0.251358971781207,0.439995282657482,0
LPC,DS04_id,5,0,0.794322828700461,0.439995282657482,1
LPC,DS05_id,2,0,0.388964854448764,0.439995282657482,0
LPC,DS07_id,1,0,0.32264583883388,0.439995282657482,0
LPC,DS06_id,4,1,2.15760122328398,0.439995282657482,1
